Stock #,Availability,Shape,CARAT,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,NR PPC,NR TOTAL
234-118A,G,RBC,0.72,O,VS1,EX,EX,EX,N,N,5.85 - 5.84 * 3.45,GIA,1343792019,,1092.000,48.000,1134.00,46.000,,,,59.00,62.00,,,3.00,Faceted,NON,,12.50,33.00,43.50,41.20,GIA 1343792019,,MUMBAI,1092.000,786.240
224-1A,G,RBC,2.11,G,SI1,EX,EX,EX,N,N,8.23 - 8.17 * 5.04,GIA,6342714868,,7475.000,35.000,7705.00,33.000,,,,61.50,61.00,,,4.50,Faceted,NON,,13.00,34.00,44.00,41.40,GIA 6342714868,Clouds are not shown. Pinpoints are not shown.,MUMBAI,7475.000,15772.250
222-340A,G,OV,0.30,J,VS2,G,EX,VG,N,N,5.07 - 3.59 * 2.34,GIA,2346738428,,630.000,37.000,650.00,35.000,,,,65.00,64.00,,,,Faceted,NON,,,,,,GIA 2346738428,,MUMBAI,630.000,189.000
237-21A,G,RBC,0.30,D,SI1,EX,EX,EX,F,N,4.33 - 4.30 * 2.64,GIA,5353214790,,1280.000,36.000,1320.00,34.000,,,,61.20,59.00,,,4.00,Faceted,NON,,13.50,33.00,44.00,41.40,GIA 5353214790,,MUMBAI,1280.000,384.000
222-369A,G,RBC,0.50,M,VS2,G,EX,VG,M,B,4.89 - 4.84 * 3.20,GIA,3345767042,,750.000,50.000,780.00,48.000,,,,65.70,59.00,,,7.00,Faceted,NON,,16.50,39.00,42.50,40.40,GIA 3345767042,,MUMBAI,750.000,375.000
238-6A,G,PR,0.50,E,VS1,VG,EX,G,N,N,4.29 - 4.25 * 3.15,GIA,1359119483,,1288.000,54.000,1344.00,52.000,,,,74.20,69.00,,,,Faceted,NON,,,,,,GIA 1359119483,,MUMBAI,1288.000,644.000
232-234A,G,RBC,0.40,J,VS2,VG,EX,VG,F,N,4.63 - 4.61 * 2.95,GIA,1353001188,,969.000,43.000,1003.00,41.000,,,,63.90,57.00,,,4.50,Faceted,NON,,17.00,38.50,42.50,40.40,GIA 1353001188,,MUMBAI,969.000,387.600
222-209B,G,EM,0.32,I,SI1,EX,EX,G,F,N,4.63 - 3.18 * 2.19,GIA,1349827937,,616.000,44.000,638.00,42.000,,,,69.00,63.00,,,,Faceted,NON,,,,,,GIA 1349827937,,MUMBAI,616.000,197.120
220-107A,G,EM,0.40,I,VS2,EX,EX,G,N,N,4.83 - 3.45 * 2.37,GIA,2347753181,,840.000,44.000,870.00,42.000,,,,68.70,64.00,,,,Faceted,NON,,,,,,GIA 2347753181,,MUMBAI,840.000,336.000
227-35A,G,OV,1.29,G,VS2,EX,EX,EX,N,N,8.44 - 6.34 * 3.74,GIA,6342932807,,3835.000,35.000,3953.00,33.000,,,,59.00,62.00,,,,Faceted,NON,,,,,,GIA 6342932807,A cloud is not shown. Surface graining is not shown.,MUMBAI,3835.000,4947.150
